entry,reference
ana.co.jp,Unknown
aol.co.uk,Unknown
arkia.co.il,Unknown
bbva.com.ar,Unknown
bbva.com.co,Unknown
benilde.edu.ph,Unknown
blueyonder.co.uk,Unknown
canada.gc.ca,Unknown
cbsa-asfc.gc.ca,Unknown
deity.co.nz,Unknown
e-sign.co.uk,Unknown
ebay.co.uk,Unknown
exclusivemail.co.za,Unknown
experian.co.uk,Unknown
fastmail.co.uk,Unknown
fastmail.com.au,Unknown
fmail.co.uk,Unknown
homemail.co.za,Unknown
homeoffice.gov.uk,Unknown
hotmail.co.uk,Unknown
hsbc.co.uk,Unknown
infotrack.co.uk,Unknown
japantimes.co.jp,Unknown
justice.gov.uk,Unknown
live.co.uk,Unknown
lycos.co.uk,Unknown
magicmail.co.za,Unknown
mail.htl22.at,Unknown
mailbox.co.za,Unknown
msn.co.uk,Unknown
nus.edu.sg,Unknown
paypal.com.mx,Unknown
poczta.onet.pl,Unknown
ravemail.co.za,Unknown
starmail.co.za,Unknown
thecricket.co.za,Unknown
thegolf.co.za,Unknown
thepub.co.za,Unknown
therugby.co.za,Unknown
webmail.co.za,Unknown
websurfer.co.za,Unknown
workmail.co.za,Unknown
yahoo.co.in,Unknown
yahoo.co.jp,Unknown
yahoo.co.uk,Unknown
yahoo.com.ar,Unknown
yahoo.com.au,Unknown
yahoo.com.br,Unknown
yahoo.com.hk,Unknown
yahoo.com.mx,Unknown
yahoo.com.ph,Unknown
yahoo.com.sg,Unknown
yahoo.com.tw,Unknown
yahoo.com.vn,Unknown
