entry,reference
1.15.141.143,Unknown
1.15.154.143,Unknown
1.57.29.37,Unknown
1.117.99.206,Unknown
1.120.1.203,Unknown
1.120.5.247,Unknown
1.122.144.111,Unknown
1.123.22.46,Unknown
1.123.62.219,Unknown
1.157.196.99,Unknown
1.159.4.195,Unknown
1.159.57.239,Unknown
1.159.181.24,Unknown
1.159.205.69,Unknown
1.159.239.79,Unknown
1.232.247.3,Unknown
2.7.35.37,Unknown
2.12.5.69,Unknown
2.56.56.25,Unknown
2.56.56.139,Unknown
2.56.56.143,Unknown
2.56.59.218,Unknown
2.56.99.43,Unknown
2.56.149.26,Unknown
2.56.149.27,Unknown
2.56.212.27,Unknown
2.57.122.89,Unknown
2.57.122.243,Unknown
2.58.69.78,Unknown
2.58.149.220,Unknown
2.59.214.56,Unknown
2.78.4.75,Unknown
2.98.8.38,Unknown
3.6.100.218,Unknown
3.7.42.23,Unknown
3.7.190.231,Unknown
3.8.121.184,Unknown
3.8.139.88,Unknown
3.8.148.62,Unknown
3.9.10.172,Unknown
3.10.32.86,Unknown
3.10.95.146,Unknown
3.10.232.31,Unknown
3.12.194.111,Unknown
3.12.222.148,Unknown
3.13.47.204,Unknown
3.13.74.63,Unknown
3.13.92.238,Unknown
3.13.153.77,Unknown
3.13.236.189,Unknown
3.14.107.88,Unknown
3.14.153.230,Unknown
3.14.163.208,Unknown
3.14.191.74,Unknown
3.14.220.39,Unknown
3.14.234.253,Unknown
3.15.1.2,Unknown
3.15.1.22,Unknown
3.15.11.214,Unknown
3.15.13.74,Unknown
3.15.23.139,Unknown
3.15.32.52,Unknown
3.15.98.69,Unknown
3.15.125.62,Unknown
3.15.171.217,Unknown
3.15.198.77,Unknown
3.15.207.145,Unknown
3.15.211.30,Unknown
3.15.225.226,Unknown
3.15.246.66,Unknown
3.16.23.27,Unknown
3.16.29.150,Unknown
3.16.48.221,Unknown
3.16.55.117,Unknown
3.16.66.167,Unknown
3.16.99.69,Unknown
3.16.138.106,Unknown
3.16.157.184,Unknown
3.16.227.199,Unknown
3.16.248.37,Unknown
3.17.25.114,Unknown
3.17.27.224,Unknown
3.17.74.149,Unknown
3.17.139.211,Unknown
3.17.146.157,Unknown
3.17.160.117,Unknown
3.17.253.91,Unknown
3.18.52.13,Unknown
3.18.86.143,Unknown
3.18.118.249,Unknown
3.18.146.184,Unknown
3.18.241.86,Unknown
3.19.31.77,Unknown
3.19.71.11,Unknown
3.19.114.111,Unknown
3.19.241.87,Unknown
3.20.12.21,Unknown
3.20.38.23,Unknown
3.20.97.30,Unknown
3.20.108.120,Unknown
3.20.117.75,Unknown
3.20.200.39,Unknown
3.20.247.17,Unknown
3.21.13.142,Unknown
3.21.44.235,Unknown
3.21.47.8,Unknown
3.21.57.182,Unknown
3.21.92.74,Unknown
3.21.130.134,Unknown
3.21.207.157,Unknown
3.21.232.44,Unknown
3.22.1.140,Unknown
3.22.25.171,Unknown
3.22.98.180,Unknown
3.22.110.56,Unknown
3.22.142.122,Unknown
3.22.152.99,Unknown
3.22.224.69,Unknown
3.22.241.188,Unknown
3.23.44.135,Unknown
3.23.76.238,Unknown
3.23.131.129,Unknown
3.23.154.9,Unknown
3.23.157.37,Unknown
3.23.181.233,Unknown
3.23.216.250,Unknown
3.25.52.242,Unknown
3.25.96.116,Unknown
3.25.130.226,Unknown
3.26.64.196,Unknown
3.35.25.180,Unknown
